seq,first,last,age,street,city,state,zip,dollar,pick,date
29,Bess,Vega,25,Ennu Loop,Tiflogwib,NC,99423,$5094.90,BLUE,11/30/2044
30,Blanche,Harvey,53,Facer Trail,Fimedac,NV,16613,$5349.16,BLUE,04/29/1999
31,Timothy,Nichols,60,Isela Junction,Pahovduc,NY,65198,$7879.36,WHITE,03/10/2055
32,George,Johnson,22,Gibu Drive,Fadeda,IA,59677,$331.23,RED,08/29/1941
33,Samuel,Chapman,40,Zojle Pass,Kagpemir,ID,83824,$1053.70,YELLOW,08/13/1956
34,Nora,Graham,24,Dunmib Center,Muskogom,AL,46252,$4884.01,WHITE,10/16/2035
35,Frederick,Campbell,32,Nihke Glen,Igoelud,AZ,06044,$3277.23,GREEN,10/13/1934
36,Harvey,Douglas,55,Hubpib Road,Raicrek,WY,56982,$1538.52,RED,06/08/1961
37,Ethel,Hubbard,47,Vibda Way,Duksocvus,FL,36206,$1807.59,WHITE,09/22/1946
38,Luis,Rodriguez,59,Welo Key,Tumetgo,AL,31750,$7680.16,YELLOW,12/16/1995
39,Robert,Hale,65,Gocbu Pass,Zorsigo,NH,15627,$1748.35,BLUE,02/08/1902
40,Sallie,Schwartz,22,Fonlu Path,Ojmarhi,FL,89018,$7513.28,RED,11/15/2014
41,Mae,Chapman,65,Bunli Manor,Tofruhto,IL,17759,$3189.50,YELLOW,11/16/1997
42,Isabella,Tyler,59,Olbi Place,Nagive,MD,43254,$6981.54,RED,04/19/1943
43,Rhoda,Bowen,44,Wena Terrace,Nubitni,DC,71286,$5550.53,YELLOW,04/20/2010
44,Nellie,Clarke,19,Ekoduk Glen,Edusuva,ID,18064,$8762.48,GREEN,05/19/1968
45,Cory,Wells,32,Ecru Lane,Olokowir,KS,03534,$3577.49,WHITE,02/25/1948
46,Essie,Sharp,39,Jibe Park,Meofma,CA,75619,$9296.58,GREEN,06/23/1962
47,Julian,Hunter,39,Imiga Park,Sebuzoro,ME,93473,$4002.94,WHITE,03/17/1916
48,Linnie,Ramsey,26,Kepa Turnpike,Etaruhiku,WV,69124,$8919.87,WHITE,06/01/1969
49,Bettie,Cole,35,Wusa Grove,Hipugsu,MD,54394,$7313.29,GREEN,08/27/1996
50,Rena,Martin,18,Fico Extension,Vocudopen,AZ,48082,$5031.67,RED,02/04/2001
51,Jonathan,Drake,53,Jiam View,Biogori,KY,92494,$9596.75,WHITE,02/24/2026
52,Oscar,Holloway,47,Vafis Grove,Gudazid,NY,55336,$4849.66,WHITE,03/24/2066
53,Adrian,Ruiz,58,Lovbe View,Reuhuda,NE,46166,$1353.51,WHITE,01/08/2040
54,Vincent,Quinn,51,Morwis Square,Obabakgad,GA,63235,$7465.37,YELLOW,07/02/2045
55,Martha,Barnes,47,Hikuf Boulevard,Ebpugo,AZ,38087,$8747.12,BLUE,06/10/2035
56,Gabriel,Torres,51,Efba Center,Javpocgos,OK,08966,$9862.71,BLUE,09/27/1957
57,Ricardo,Robertson,59,Gofit Glen,Utrizba,RI,43600,$4967.71,RED,03/12/2002
58,Ina,Santiago,58,Rihfog River,Ohpimsu,OR,98246,$3539.76,GREEN,12/25/2026
59,Shane,Gibson,40,Miac Point,Jupeiho,DE,76129,$1022.64,RED,06/08/1908
60,Adele,Harrington,27,Vafhi Junction,Fozicer,ME,09357,$6703.94,RED,02/21/1969
61,Nettie,Armstrong,58,Boski Point,Oladpe,TN,94948,$5664.86,RED,04/20/2033
62,Beatrice,Baker,58,Asuwa Park,Kitonfe,AR,56779,$6904.41,YELLOW,11/25/1948
63,Maurice,Young,42,Nadudu View,Lanozlib,MN,74856,$6576.95,BLUE,02/04/1919
64,Rodney,Pierce,59,Jomef Square,Soonaja,TN,62676,$5806.81,GREEN,01/02/1941
65,Estelle,Horton,59,Tommar River,Naofuce,UT,28518,$4421.30,YELLOW,04/28/2015
66,Matilda,Pratt,61,Mana Extension,Lahudihub,MN,27942,$241.66,GREEN,07/28/1924
67,Ophelia,Webster,26,Tijoj Place,Meaneb,NM,80866,$19.92,BLUE,09/24/1922
68,Michael,Reynolds,41,Raez Turnpike,Ahsapipe,IN,33934,$79.49,BLUE,02/21/1910
69,Rosie,Massey,29,Mereg Plaza,Zaufupog,CO,48867,$9682.64,BLUE,06/08/1980
70,Bertha,Payne,61,Kiwis Extension,Kitvaszi,VA,86288,$2789.46,WHITE,08/11/1916
71,Hannah,Love,48,Piforu Path,Dolfobuv,OK,88057,$7470.91,WHITE,01/28/2058
72,Helen,Leonard,63,Vurse Terrace,Uzaregkit,MT,40713,$1095.90,RED,04/06/1932
73,Benjamin,Fields,65,Mofo Court,Loofvot,MO,10366,$1957.40,WHITE,05/22/1960
74,Joe,Brady,25,Tolut Ridge,Isuwecsa,IA,44443,$9408.14,GREEN,11/28/2027
75,Hilda,Evans,20,Likjos View,Senavcat,NM,24021,$261.65,GREEN,08/21/1986
76,Jennie,Thompson,36,Babka Street,Hebkigso,CA,99416,$6407.97,YELLOW,10/27/1902
77,Clayton,Jensen,38,Ozige Mill,Wopsejcow,AL,19276,$433.27,RED,12/26/1946
78,Corey,Tate,41,Wotguf Street,Ovaranruf,AR,76608,$5441.62,YELLOW,08/15/1940
79,Clarence,Powers,39,Libib River,Nozijdov,DC,79504,$2430.13,WHITE,11/05/1962
80,Josie,Padilla,22,Asco Trail,Apmaktu,SC,03989,$1405.37,RED,08/09/1977
81,Chase,Elliott,35,Levud Lane,Futsutar,PA,49961,$4027.49,GREEN,06/28/1954
82,Lewis,Barker,27,Cefu Loop,Usicado,DE,43745,$8882.19,WHITE,09/21/1958
83,Jesus,Guerrero,53,Ojha Park,Iclilkaw,LA,31196,$6926.38,BLUE,01/21/1927
84,Travis,Cook,34,Duccif Terrace,Falusmer,MN,73690,$6014.33,BLUE,10/13/2004
85,Seth,Campbell,59,Joda Manor,Vapajmi,MT,15185,$2826.35,YELLOW,10/05/2011
86,Leila,Watson,25,Utuwi Loop,Obigutco,RI,76025,$9904.27,RED,06/12/1909
87,Barbara,Love,25,Tewci Square,Jesuwerat,KY,27566,$5976.45,YELLOW,08/19/1950
88,Alex,Carr,39,Asza View,Kurtaese,TN,33909,$6946.23,RED,01/07/1964
89,Tillie,Barker,33,Etodud Mill,Sisragag,AR,47701,$7477.49,WHITE,12/11/2015
90,Russell,Frazier,40,Hakde Pike,Lofuvi,NH,09253,$2891.01,YELLOW,10/01/1913
91,Bettie,Lowe,51,Wewifi Drive,Nawenek,TX,17437,$4776.49,WHITE,01/18/1986
92,Mark,Roy,19,Diwo Street,Lulvolel,IN,14814,$6095.63,GREEN,04/28/2034
93,Timothy,Harris,21,Vajep Park,Ihopiaka,UT,90902,$349.51,RED,03/01/1971
94,Jayden,Fletcher,41,Vadzak Park,Akajocoz,CA,44105,$8027.73,GREEN,10/28/1974
95,Jason,Santos,63,Bifon Parkway,Ozfaap,NH,44293,$7759.97,BLUE,12/21/1932
96,Alexander,Russell,52,Hogkuh Boulevard,Vefrurus,NY,96864,$1877.16,GREEN,08/19/2018
97,Ola,Duncan,21,Toupe Ridge,Rozemaze,LA,97516,$1058.23,GREEN,07/04/1920
98,George,Daniel,53,Mukhu Loop,Mizusuj,SC,35021,$5529.01,YELLOW,10/01/2010
99,Lucas,Kelley,29,Fifko Point,Gobgidi,AZ,98463,$5808.06,WHITE,09/14/1944
100,Cynthia,Hicks,20,Daub Grove,Nujasne,OH,98662,$7748.72,YELLOW,03/15/2023
101,Jared,Collier,38,Zukhu Ridge,Uzkejone,NH,96412,$7215.22,YELLOW,02/13/1927
102,Isaac,Patton,53,Navbut Manor,Sucavbi,OK,09758,$7479.47,WHITE,08/03/1959
103,Katharine,Zimmerman,40,Gegfa Path,Kowfooj,WA,36844,$8333.67,YELLOW,02/08/1934
104,David,Roberson,48,Pebid Court,Ezibowo,TN,38454,$3762.18,RED,10/07/1947
105,Jordan,Bennett,53,Nena Terrace,Usakutmuv,CA,28661,$622.14,RED,04/07/1938
106,Eugene,Wood,43,Cuejo Court,Abpajsoj,CT,58898,$7091.40,GREEN,07/19/1927
107,Ricky,Watkins,53,Vetbu Highway,Sudluwov,WV,71654,$7699.24,RED,01/22/1900
108,Isaac,Bass,64,Luwvi Heights,Egifelraw,MT,29397,$297.26,RED,11/19/2039
109,Callie,Ballard,26,Uwri Point,Muglesi,VA,69247,$9798.88,GREEN,07/24/2045
110,Effie,Doyle,48,Gacu Road,Ifujajet,LA,97559,$4891.49,GREEN,01/04/2019
111,Clara,Gomez,30,Oloed Court,Motidaeg,SC,90537,$2961.92,WHITE,02/04/2046
112,Della,Bowman,53,Jesabe Terrace,Urkorcah,MT,67825,$6655.52,RED,04/01/1992
113,Bertha,Gonzales,21,Akage River,Sisoabe,NY,66529,$8831.61,GREEN,09/27/1985
114,Nicholas,Norton,61,Sagcem Drive,Ucweppol,ME,01594,$4774.37,BLUE,03/18/1933
115,Mollie,Greer,51,Rifo Junction,Vulocukov,AK,48575,$1975.14,WHITE,05/12/2025
116,Leo,Banks,43,Awtac Heights,Kemopon,LA,17596,$7421.98,YELLOW,09/24/1968
117,Sallie,Foster,27,Ahedu Extension,Repufab,UT,87331,$6064.91,BLUE,02/28/1975
118,Leroy,Buchanan,49,Jojkit Junction,Febakte,NC,32984,$1719.23,GREEN,11/26/1927
119,Michael,McDaniel,25,Ekcu Key,Solvotmaz,DE,98374,$3976.56,RED,02/17/2037
120,Amelia,Powers,62,Loubu Trail,Ebatabho,IA,75277,$3038.31,RED,11/20/2048
121,Ethan,Lowe,22,Sages Glen,Sofnonu,VT,28276,$7956.05,GREEN,04/26/2038
122,Myrtle,Bass,20,Wero Drive,Ronlufbes,AK,08800,$3887.25,BLUE,02/18/1907
123,Eric,Turner,36,Ibla Pass,Najnalil,MS,90536,$5840.76,WHITE,06/11/2059
124,Adelaide,Castro,52,Horfi Square,Girzuvme,MO,30832,$3317.56,BLUE,10/02/1911
125,Joseph,Hale,48,Zemzuj Square,Pargibo,UT,35655,$2544.02,GREEN,08/15/2037
126,Gertrude,Spencer,21,Iwepeb Park,Vokdafdo,PA,39570,$3248.74,WHITE,01/16/1949
127,Gertrude,Paul,47,Roneri Mill,Itpitohu,TX,06572,$6243.47,WHITE,07/19/2056
128,Russell,Dawson,49,Nurad Turnpike,Farbucbu,VA,15396,$7063.63,BLUE,11/17/2054
129,Pearl,Cohen,43,Tipij Extension,Kojole,NY,34413,$4657.86,YELLOW,11/17/1903
130,Ruth,Valdez,25,Kubok Road,Fuwjunef,PA,95716,$5328.94,WHITE,03/17/1922
131,Nina,Reyes,24,Segevu Junction,Zikofig,SD,76888,$4301.76,RED,08/12/1907
132,Mollie,Gonzales,31,Lolama Manor,Dezleltuh,TX,96229,$5503.91,YELLOW,08/25/2040
133,Wesley,James,62,Mief Road,Vivefa,IA,36553,$4670.82,RED,06/07/1942
134,Rebecca,White,60,Digik Way,Idciet,PA,59556,$5097.62,BLUE,07/04/2025
135,Laura,Erickson,22,Secge Parkway,Iwapuwu,CO,55626,$3449.84,GREEN,01/13/1964
136,Lily,Burke,55,Ponu Mill,Edotusuw,MN,13419,$197.25,WHITE,02/13/2064
137,Ricky,Tate,63,Fonvun Terrace,Sarwita,CA,98761,$8258.81,RED,03/05/1972
138,Leonard,Mullins,52,Gabe Junction,Dowobhe,AZ,63981,$4353.23,GREEN,06/08/1912
139,Ora,Edwards,43,Bibteg Turnpike,Uluziom,NC,71709,$6139.93,YELLOW,06/08/1923
140,Travis,Glover,31,Sead Mill,Ukewugosu,TN,20785,$1665.92,YELLOW,09/09/1997
141,Clara,Sandoval,26,Vujwot Road,Sapfufa,NJ,71768,$2894.23,RED,03/12/2040
142,Tom,Ruiz,42,Nele Pike,Lovopva,NC,83633,$8876.65,WHITE,01/11/1997
143,Emma,Ortega,45,Rolku Key,Lisahi,GA,43789,$6927.42,BLUE,06/29/1902
144,Rosetta,Dixon,62,Zecbe Park,Fisalume,MS,22666,$6694.04,YELLOW,05/24/1901
145,Fred,Montgomery,44,Koras Road,Wosfaisa,MI,75651,$2991.13,GREEN,05/01/1962
146,Flora,Quinn,23,Sizu Point,Jenhiare,HI,02814,$9770.04,BLUE,08/06/1924
147,Lilly,Johnston,32,Huno Grove,Wiszibo,NH,81341,$4004.21,BLUE,12/02/2051
148,Gavin,Warner,39,Fudat Terrace,Tikasage,NE,12642,$1021.69,RED,10/18/2006
149,Troy,Young,18,Iwlus Ridge,Sawzusoki,MI,11531,$9966.84,YELLOW,07/05/1934
150,Kate,Simmons,21,Jaito Parkway,Nawmaga,WI,57006,$7297.08,BLUE,02/20/1970
151,Madge,Christensen,18,Cizi Circle,Bonotbe,NV,69478,$1643.49,GREEN,06/10/2020
152,Mitchell,Nelson,52,Jifid Drive,Adtububa,SD,57877,$3193.83,YELLOW,05/06/2013
153,Nathan,Kelly,64,Duhav Avenue,Gihkova,NE,72780,$5550.09,RED,12/09/2026
154,Stephen,Fuller,39,Sede Trail,Lowizot,CA,61352,$8453.83,BLUE,01/14/1934
155,Bernice,Wagner,42,Safru Trail,Jowjebgi,HI,96436,$2592.63,BLUE,05/09/2048
156,Lela,Myers,33,Wacmom Extension,Epilidi,SD,09573,$441.73,GREEN,07/30/2058
157,Josephine,Wolfe,55,Samrif Park,Sevegfi,AZ,97689,$523.42,YELLOW,03/10/2004
158,Maude,Lawrence,47,Veket Trail,Pemikri,WA,23323,$2836.29,YELLOW,04/12/2013
159,Clara,Matthews,56,Dorug Way,Apitofe,CA,85585,$1666.03,WHITE,08/20/1954
160,Leona,King,32,Tilas Mill,Zoahofe,NH,54702,$4027.58,BLUE,05/12/1907
161,Kyle,Pearson,20,Dokzi Mill,Cawvazke,LA,92911,$5778.42,RED,06/07/1918
162,Zachary,Nash,39,Ukin Street,Hogonhaj,ND,44830,$5816.51,GREEN,02/07/1953
163,Zachary,Brown,47,Fomer Key,Giwubbus,WI,75680,$1195.32,GREEN,02/21/1965
164,Myrtle,Chandler,24,Pahgip Pass,Suuzniz,HI,76739,$2383.45,YELLOW,10/20/2058
165,Todd,Gonzalez,20,Motzej Ridge,Podosvo,DC,48547,$3984.23,YELLOW,11/15/1910
166,William,Ward,30,Meleg Drive,Gepurno,AK,49847,$1147.55,GREEN,12/11/2042
167,Lydia,Edwards,65,Ekke Manor,Bebwiahi,CT,88304,$4447.89,GREEN,02/28/1947
168,Sophie,Fields,65,Setena Glen,Dugemgi,NJ,62925,$6214.67,WHITE,11/07/1904
169,Elmer,Casey,20,Ulomer Road,Resceuw,AL,13115,$4773.87,YELLOW,04/17/2022
170,Dollie,Bowers,63,Burif Grove,Kepolagod,MA,84445,$6866.91,BLUE,11/03/2057
171,Jeanette,Stewart,61,Ofoja Parkway,Duksounu,AL,00288,$438.56,GREEN,10/25/2010
172,Emilie,Lawrence,57,Zahu Key,Maibijus,ID,65437,$8624.25,GREEN,02/17/1906
173,Blake,Kim,23,Ketno Terrace,Ultuslut,AR,44768,$2170.20,BLUE,10/05/2003
174,Kate,Osborne,40,Teddu Terrace,Ubjuvo,OH,88408,$6915.72,GREEN,04/09/2025
175,Winifred,Atkins,45,Widra Mill,Damaec,MI,13716,$9560.49,YELLOW,02/13/1976
176,Larry,Burns,41,Ufwe Lane,Afseaju,TN,59779,$6638.02,RED,09/04/1922
177,Jerry,Jordan,63,Havji Trail,Tecicco,NC,46274,$4781.80,GREEN,01/06/1903
178,Isabel,Hunter,64,Lajriz Way,Tawezag,GA,21694,$5455.00,BLUE,08/23/1955
179,Adam,Neal,39,Hireco Boulevard,Bomhodow,WA,43085,$2452.32,BLUE,08/01/2050
180,Lida,Flowers,46,Waten Turnpike,Sicaho,IA,66741,$1822.79,BLUE,02/27/1998
181,Ronnie,Glover,30,Jogak Junction,Fijumfi,DC,95180,$9313.46,GREEN,08/28/2001
182,May,Lopez,44,Gughec Way,Tubejped,NY,19985,$2828.17,YELLOW,09/10/1915
183,William,Gregory,60,Omrut River,Ohjivov,VT,09493,$2346.99,BLUE,08/17/2051
184,Duane,Leonard,56,Nikur Turnpike,Gilujbed,FL,63637,$2582.40,RED,03/22/2040
185,Johanna,Ruiz,63,Tejoc Key,Kilangu,CA,66142,$5265.06,YELLOW,07/15/1967
186,Jeremy,Maxwell,58,Ahoci Circle,Logessig,VT,54086,$2691.09,BLUE,07/30/1901
187,Gabriel,Ramos,31,Dejam Parkway,Mizetoba,LA,64644,$6187.65,WHITE,04/05/2052
188,Chris,Berry,30,Peritu Center,Sapaoki,IL,53292,$1414.72,GREEN,09/23/1913
189,Steve,Waters,18,Jabsi Highway,Hondaom,SD,23584,$1031.13,GREEN,09/21/1999
190,Gary,Page,50,Rakaw Point,Zasalva,MS,65743,$2937.95,WHITE,06/08/1919
191,Katie,Myers,34,Tube View,Wuzecos,RI,59039,$8409.22,GREEN,02/15/1976
192,Beatrice,Stephens,59,Toget Lane,Gazzogpid,MA,53357,$2783.18,WHITE,05/31/2031
193,Gerald,Osborne,50,Lofo Junction,Kudaku,CT,52402,$3803.56,BLUE,11/30/1913
194,Henry,Hopkins,59,Webeh Circle,Zorzuru,ID,48994,$3217.64,RED,02/05/1905
195,Gertrude,Lopez,63,Raju Court,Ijoedufe,MT,11272,$1768.53,WHITE,04/18/2068
196,Susie,Schwartz,53,Poata Street,Owanakko,UT,60675,$7189.44,WHITE,06/22/2063
197,Sallie,Vargas,20,Bufsaz Path,Wazulmem,GA,45634,$3700.39,WHITE,11/16/1933
198,Lela,Malone,19,Birji Manor,Kazowi,TN,89636,$2503.13,RED,05/11/1934
199,Peter,Pope,20,Fiab Turnpike,Fufevte,AL,54657,$1226.33,GREEN,07/07/2010
200,Alex,Mack,25,Linbuw Manor,Tibvafav,FL,37689,$7604.51,GREEN,10/22/2021
201,Mattie,Ferguson,29,Ufaujo Avenue,Cihumaz,WA,96954,$9.08,BLUE,05/01/2048
202,Cody,Gonzalez,36,Uwuef Path,Gaweobe,NJ,50445,$2162.15,GREEN,09/07/2040
203,Jason,Henderson,29,Lepef View,Heivzof,MS,61913,$2345.15,GREEN,05/08/2049
204,Caroline,Allison,65,Wiffov Avenue,Nebuzev,GA,77720,$2769.39,WHITE,06/02/1990
205,Helen,Gutierrez,27,Nofwiw Road,Emraaj,NH,08037,$7373.07,YELLOW,04/14/1990
206,Mabelle,Todd,32,Daos Boulevard,Ebsuhjok,CO,76896,$9064.76,RED,06/10/2029
207,Rosalie,Moran,60,Ecabur Avenue,Zataczip,PA,14490,$2913.54,RED,07/03/1962
208,Lucas,Cannon,61,Kead Pass,Jiowubu,PA,99105,$6106.55,WHITE,01/20/2042
209,James,Hampton,45,Conuh Court,Fumihnuh,TX,93188,$2678.42,WHITE,02/26/1933
210,Katherine,Obrien,24,Asorar Path,Reftovit,MI,80299,$5080.49,GREEN,07/06/1916
211,Rhoda,Lopez,31,Jaow Road,Sebaniho,NE,76141,$7004.64,YELLOW,06/01/2035
212,Winnie,Bradley,31,Newo Pike,Unlubo,NY,69955,$4381.04,WHITE,07/25/1913
213,Maggie,Hardy,59,Pecro River,Legane,NM,36061,$6767.32,GREEN,06/22/1955
214,Lloyd,Silva,38,Zego Lane,Cuvazilag,AL,47561,$40.99,RED,04/10/2019
215,Calvin,Haynes,18,Mese Court,Piavle,ID,93285,$8843.70,YELLOW,08/12/1926
216,Jane,Harmon,49,Canda Circle,Pubicogu,KY,38276,$7334.46,BLUE,01/05/1968
217,Teresa,Hughes,22,Cutkav Loop,Cebohwun,FL,96345,$1326.11,GREEN,09/23/2009
218,Bernard,Wright,65,Oknu Court,Jiecura,TX,77796,$5282.71,BLUE,01/20/1976
219,Estella,Lloyd,53,Jiguc River,Lesinmec,AR,42892,$8924.92,BLUE,03/30/2062
220,Anne,Jensen,42,Tave Square,Wojotegaf,CO,64913,$7193.51,GREEN,04/02/2049
221,Francis,Elliott,28,Jimmi Terrace,Figdobowi,NH,24537,$8.97,YELLOW,03/19/1937
222,Floyd,Mendez,53,Napfat Junction,Ibifimeb,IN,98059,$819.90,RED,02/12/1942
223,Della,Nash,25,Wepem Manor,Bofkatcer,VT,63617,$2182.78,RED,07/16/1944
224,Christian,Garrett,42,Gatab Drive,Haghule,ID,08519,$2366.40,BLUE,08/04/1933
225,Adrian,Pearson,24,Lacar Road,Jikwizse,UT,94795,$540.56,WHITE,01/19/2066
226,Anne,Keller,26,Ipiiko Avenue,Dienigu,SD,91582,$9227.99,WHITE,12/02/1965
227,Louis,Barnett,40,Monta Pike,Ezehuodi,IN,83063,$7661.24,YELLOW,01/05/1970
228,Jeffery,Gonzales,62,Belke Terrace,Iblekbez,MO,65331,$9617.81,BLUE,02/24/2037
229,Brandon,Waters,50,Etuta River,Unuudzu,CT,16882,$554.44,WHITE,01/29/1904
230,Arthur,Quinn,49,Hegif Junction,Nopiped,WI,13019,$9094.58,GREEN,05/09/1933
231,Celia,Frazier,33,Dasa Pass,Agifaag,NH,43318,$7591.66,YELLOW,02/23/1923
232,Jay,Mendoza,29,Agpe Extension,Hapooh,MO,62242,$3237.08,YELLOW,05/07/2013
233,Calvin,Dixon,47,Nugaj Plaza,Dutaker,WV,73481,$3703.09,RED,11/29/2036
234,Edith,Montgomery,40,Ehabi Heights,Pudivuron,WY,28326,$3057.12,YELLOW,03/31/1916
235,Flora,Aguilar,38,Pawfi Square,Vordekvo,MT,66883,$1357.48,BLUE,01/26/1962
236,Hunter,Pearson,56,Gihehu Turnpike,Tutjodpi,NY,03627,$5026.91,YELLOW,07/09/2004
237,Martin,Byrd,26,Ongad Pike,Ciwvagit,SD,60540,$2360.91,RED,05/04/1907
238,Elizabeth,Turner,18,Fiheji Ridge,Alzazow,MS,67737,$1795.70,WHITE,08/18/2010
239,Dylan,Brown,35,Zaav Lane,Veefafij,WY,40216,$9417.82,YELLOW,02/01/1969
240,Maud,Sutton,62,Gorpop Trail,Kazgozel,TX,77696,$6818.28,YELLOW,05/17/1970
241,Adrian,Castro,59,Vodlaf Point,Pebattec,NJ,40870,$3311.33,BLUE,03/03/1916
242,Philip,Holland,49,Wusof Place,Lezponrez,NM,02612,$6587.11,GREEN,01/09/2042
243,Marie,Padilla,28,Azanad Glen,Gipiflen,DC,42855,$7253.68,WHITE,04/21/2007
244,Ricky,Carr,63,Uksiw View,Ehoface,WA,77740,$1826.90,YELLOW,06/25/2052
245,Kenneth,Nelson,47,Givi Square,Dusedaf,MS,63526,$2300.43,WHITE,10/22/1965
246,Elnora,Ward,53,Wapoh Trail,Kozivi,VT,65444,$2280.16,WHITE,01/18/2030
247,Marc,Hart,32,Hitoci Plaza,Zupefa,ME,69866,$1334.52,BLUE,08/13/1967
248,Irene,Dawson,33,Pubac Lane,Ponoltu,OK,97475,$460.74,BLUE,07/01/1970
249,Inez,Bass,26,Pehfom Mill,Ibopigla,OR,01174,$911.98,YELLOW,11/07/2012
250,Lester,Sanchez,39,Habsa Place,Nifuwata,GA,68607,$5094.29,RED,09/05/2025
251,Viola,Torres,20,Areso Point,Peffepes,WV,60551,$684.60,YELLOW,02/27/1947
252,Billy,Thompson,18,Ucviw Extension,Dilvoev,TN,01381,$9320.48,GREEN,06/24/1949
253,Bertha,Wilkins,38,Lajo Avenue,Nukuwoka,DE,39853,$2864.20,RED,12/14/1999
254,Richard,Ray,52,Pouwu Mill,Ecocucam,NC,26283,$8109.96,WHITE,11/29/1933
255,Ian,Colon,48,Ocahal Plaza,Danefu,NJ,66289,$6285.47,RED,11/23/1925
256,Tyler,Sharp,22,Owata Avenue,Lisipo,HI,60660,$7345.76,YELLOW,02/26/1995
257,Blake,Dixon,37,Gafoh Point,Murbolbaf,IL,02817,$1103.15,GREEN,01/05/1911
258,Sadie,Patton,55,Obofe Parkway,Martozij,WA,42017,$492.13,BLUE,04/09/1976
259,Ernest,Hawkins,51,Nesnu Manor,Winupac,KY,45770,$7111.28,YELLOW,11/07/2033
260,Jeffrey,Cain,61,Jovib Center,Lihumumo,NE,19059,$3981.74,YELLOW,06/14/1969
261,Lucile,Brock,34,Cukto Pike,Puozilal,WA,37301,$8253.38,YELLOW,06/05/1923
262,Dollie,Mendoza,33,Huma Turnpike,Kenapood,MA,02226,$1973.04,BLUE,09/24/2011
263,Edward,Mitchell,46,Ahuane Point,Soture,MN,25719,$3498.97,YELLOW,12/02/2069
264,Floyd,Weaver,31,Lujta Loop,Uwhecuk,TN,26049,$7433.52,YELLOW,02/11/2026
265,Lydia,Salazar,38,Zebaf Center,Iscabi,MT,90818,$7594.41,BLUE,03/03/2012
266,Mike,Sullivan,29,Retcag Ridge,Doladot,IN,11405,$8378.36,BLUE,02/28/1915
267,Olga,Steele,51,Zavin Glen,Ektoopo,OR,82229,$8186.44,RED,03/05/1937
268,Dennis,Stevens,22,Dumice Boulevard,Rodukub,NM,19978,$6249.92,BLUE,12/16/2061
269,Jeffery,Park,51,Udizih Street,Tesulabi,AR,77672,$3495.16,BLUE,12/31/1996
